Element,Item,Year,Unit,Value
Export Value,Other Meat,1967,1000 US$,10370
Export Value,Other Meat,1968,1000 US$,11341
Export Value,Other Meat,1969,1000 US$,10495
Export Value,Other Meat,1970,1000 US$,10825
Export Value,Other Meat,1971,1000 US$,11318
Export Value,Other Meat,1972,1000 US$,16489
Export Value,Other Meat,1973,1000 US$,39852
Export Value,Other Meat,1974,1000 US$,56689
Export Value,Other Meat,1975,1000 US$,70339
Export Value,Other Meat,1976,1000 US$,89842
Export Value,Other Meat,1977,1000 US$,104727
Export Value,Other Meat,1978,1000 US$,120229
Export Value,Other Meat,1979,1000 US$,130686
Export Value,Other Meat,1980,1000 US$,147677
Export Value,Other Meat,1981,1000 US$,130408
Export Value,Other Meat,1982,1000 US$,108345
Export Value,Other Meat,1983,1000 US$,80044
Export Value,Other Meat,1984,1000 US$,72959
Export Value,Other Meat,1985,1000 US$,65200
Export Value,Other Meat,1986,1000 US$,79662
Export Value,Other Meat,1987,1000 US$,120584
Export Value,Other Meat,1988,1000 US$,154899
Export Value,Other Meat,1989,1000 US$,178957
Export Value,Other Meat,1990,1000 US$,197422
Export Value,Other Meat,1991,1000 US$,186305
Export Value,Other Meat,1992,1000 US$,174292
Export Value,Other Meat,1993,1000 US$,155157
Export Value,Other Meat,1994,1000 US$,118948
Export Value,Other Meat,1995,1000 US$,114176
Export Value,Other Meat,1996,1000 US$,123812
Export Value,Other Meat,1997,1000 US$,122335
Export Value,Other Meat,1998,1000 US$,117700
Export Value,Other Meat,1999,1000 US$,103079
Export Value,Other Meat,2000,1000 US$,101945
Export Value,Other Meat,2001,1000 US$,124511
Export Value,Other Meat,2002,1000 US$,85562
Export Value,Other Meat,2003,1000 US$,77344
Export Value,Other Meat,2004,1000 US$,95996
Export Value,Other Meat,2005,1000 US$,138721
Export Value,Other Meat,2006,1000 US$,128689
Export Value,Other Meat,2007,1000 US$,67085
Export Value,Other Meat,2008,1000 US$,58360
Export Value,Other Meat,2009,1000 US$,56292
Export Value,Other Meat,2010,1000 US$,56914
Export Value,Other Meat,2011,1000 US$,64955
Export Value,Other Meat,2012,1000 US$,62737
Export Value,Other Meat,2013,1000 US$,67583
Export Value,Other Meat,2014,1000 US$,76954
Export Value,Other Meat,2015,1000 US$,65714
Export Value,Other Meat,2016,1000 US$,71763
Export Value,Other Meat,2017,1000 US$,69456
Export Value,Other Meat,2018,1000 US$,72969
Export Value,Other Meat,2019,1000 US$,78767
